subject,configuration_id,eyes_open_n_windows,eyes_closed_n_windows,eyes_open_median,eyes_closed_median,median_ratio_ec_over_eo,g90_ec_q05_minus_eo_q95,grange_ec_min_minus_eo_max,pairwise_ordering_fraction,pairwise_greater_count,pairwise_tie_count,pairwise_lower_count,total_pair_count
1,win-2s_step-1s,59,59,3.996241005951425e-11,5.038257003548005e-10,12.60749037919573,1.5384779565993187e-10,-6.275239427675477e-11,0.9991381786842861,3478,0,3,3481
1,win-1s_step-1s,60,60,3.428994952974755e-11,4.449659200542434e-10,12.976569699183202,9.971534489892964e-11,-5.651928726139773e-11,0.9991666666666666,3597,0,3,3600
1,win-4s_step-1s,57,57,4.2261100242696245e-11,5.268976032721633e-10,12.467673587443434,1.8028792475611998e-10,9.03824220189247e-11,1.0,3249,0,0,3249
1,win-2s_step-0p5s,117,117,4.013248301385884e-11,5.038257003548005e-10,12.55406250793941,1.7093927428751455e-10,-6.892898642575874e-11,0.9991233837387683,13677,0,12,13689
1,win-2s_step-2s,30,30,4.11183600370999e-11,4.996080141546798e-10,12.150484934318829,1.6780593678684888e-10,-6.275239427675477e-11,0.9988888888888889,899,0,1,900
